Loading object:fap.o
Applying branch and bound with tau=1.000000e-03
************************************************************************************
Explored nodes: 39033
Leaves: 2300
Node [1456>1457] {9.240508e-04}-{{0:44}{1:11}{2:17}}
Node [1473>1474] {9.240508e-04}-{{0:44}{1:10}{2:17}}
Node [1490>1491] {9.240508e-04}-{{0:44}{1:9}{2:17}}
Node [1507>1508] {9.240508e-04}-{{0:44}{1:8}{2:17}}
Node [1524>1525] {9.240508e-04}-{{0:44}{1:7}{2:17}}
Node [1541>1542] {9.240508e-04}-{{0:44}{1:6}{2:17}}
Node [1558>1559] {9.240508e-04}-{{0:44}{1:5}{2:17}}
Node [1575>1576] {9.240508e-04}-{{0:44}{1:4}{2:17}}
Node [1592>1593] {9.240508e-04}-{{0:44}{1:3}{2:17}}
Node [1609>1610] {9.240508e-04}-{{0:44}{1:2}{2:17}}
Node [1626>1627] {9.240508e-04}-{{0:44}{1:1}{2:17}}
Node [1643>1644] {9.240508e-04}-{{0:44}{1:0}{2:17}}
Node [1698>1699] {9.265542e-04}-{{0:43}{1:49}{2:6}}
Node [1714>1715] {7.614493e-04}-{{0:43}{1:48}{2:16}}
Node [1730>1731] {7.792711e-04}-{{0:43}{1:47}{2:16}}
Node [1746>1747] {7.794499e-04}-{{0:43}{1:46}{2:16}}
Node [1762>1763] {7.794499e-04}-{{0:43}{1:45}{2:16}}
Node [1778>1779] {7.794499e-04}-{{0:43}{1:44}{2:16}}
Node [1794>1795] {7.794499e-04}-{{0:43}{1:43}{2:16}}
Node [1810>1811] {7.794499e-04}-{{0:43}{1:42}{2:16}}
Node [1826>1827] {7.794499e-04}-{{0:43}{1:41}{2:16}}
Node [1842>1843] {7.794499e-04}-{{0:43}{1:40}{2:16}}
Node [1858>1859] {7.794499e-04}-{{0:43}{1:39}{2:16}}
Node [1874>1875] {7.794499e-04}-{{0:43}{1:38}{2:16}}
Node [1890>1891] {7.794499e-04}-{{0:43}{1:37}{2:16}}
Node [1906>1907] {7.794499e-04}-{{0:43}{1:36}{2:16}}
Node [1922>1923] {7.794499e-04}-{{0:43}{1:35}{2:16}}
Node [1938>1939] {7.794499e-04}-{{0:43}{1:34}{2:16}}
Node [1954>1955] {7.794499e-04}-{{0:43}{1:33}{2:16}}
Node [1970>1971] {7.794499e-04}-{{0:43}{1:32}{2:16}}
Node [1986>1987] {7.794499e-04}-{{0:43}{1:31}{2:16}}
Node [2002>2003] {7.794499e-04}-{{0:43}{1:30}{2:16}}
Node [2018>2019] {7.794499e-04}-{{0:43}{1:29}{2:16}}
Node [2034>2035] {7.794499e-04}-{{0:43}{1:28}{2:16}}
Node [2050>2051] {7.794499e-04}-{{0:43}{1:27}{2:16}}
Node [2066>2067] {7.794499e-04}-{{0:43}{1:26}{2:16}}
Node [2082>2083] {7.794499e-04}-{{0:43}{1:25}{2:16}}
Node [2098>2099] {7.794499e-04}-{{0:43}{1:24}{2:16}}
Node [2114>2115] {7.794499e-04}-{{0:43}{1:23}{2:16}}
Node [2130>2131] {7.794499e-04}-{{0:43}{1:22}{2:16}}
Node [2146>2147] {7.794499e-04}-{{0:43}{1:21}{2:16}}
Node [2162>2163] {7.794499e-04}-{{0:43}{1:20}{2:16}}
Node [2178>2179] {7.794499e-04}-{{0:43}{1:19}{2:16}}
Node [2194>2195] {7.794499e-04}-{{0:43}{1:18}{2:16}}
Node [2210>2211] {7.794499e-04}-{{0:43}{1:17}{2:16}}
Node [2226>2227] {7.794499e-04}-{{0:43}{1:16}{2:16}}
Node [2242>2243] {7.794499e-04}-{{0:43}{1:15}{2:16}}
Node [2258>2259] {7.794499e-04}-{{0:43}{1:14}{2:16}}
Node [2274>2275] {7.794499e-04}-{{0:43}{1:13}{2:16}}
Node [2290>2291] {7.794499e-04}-{{0:43}{1:12}{2:16}}
Node [2306>2307] {7.794499e-04}-{{0:43}{1:11}{2:16}}
Node [2322>2323] {7.794499e-04}-{{0:43}{1:10}{2:16}}
Node [2338>2339] {7.794499e-04}-{{0:43}{1:9}{2:16}}
Node [2354>2355] {7.794499e-04}-{{0:43}{1:8}{2:16}}
Node [2370>2371] {7.794499e-04}-{{0:43}{1:7}{2:16}}
Node [2386>2387] {7.794499e-04}-{{0:43}{1:6}{2:16}}
Node [2402>2403] {7.794499e-04}-{{0:43}{1:5}{2:16}}
Node [2418>2419] {7.794499e-04}-{{0:43}{1:4}{2:16}}
Node [2434>2435] {7.794499e-04}-{{0:43}{1:3}{2:16}}
Node [2450>2451] {7.794499e-04}-{{0:43}{1:2}{2:16}}
Node [2466>2467] {7.794499e-04}-{{0:43}{1:1}{2:16}}
Node [2482>2483] {7.794499e-04}-{{0:43}{1:0}{2:16}}
Node [2548>2549] {6.738305e-04}-{{0:42}{1:49}{2:17}}
